Unnamed: 0.1,Unnamed: 0,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD_SCENARIO,transaction_type,Merged Fraud,Month
1321526,1321526,1321526,2023-05-18 17:44:16,1113,3412,656.12,11900656,137,Legitimate Transaction,0,Legitimate Transaction,5
921373,921373,921373,2023-04-07 02:21:30,2582,342,100.81,8302890,96,Legitimate Transaction,0,Legitimate Transaction,4
2487,2487,2487,2023-01-01 08:37:26,658,9537,547.57,31046,0,Legitimate Transaction,0,Legitimate Transaction,1
967000,967000,967000,2023-04-11 16:47:18,1023,6880,249.7,8700438,100,Legitimate Transaction,0,Legitimate Transaction,4
875589,875589,875589,2023-04-02 09:00:16,1697,8989,652.1,7894816,91,Legitimate Transaction,0,Legitimate Transaction,4
312404,312404,312404,2023-02-02 12:28:59,4834,4613,1319.83,2809739,32,Fraudulent Transaction Internet,1,Fraudulent Transaction,2
938139,938139,938139,2023-04-08 15:59:29,1362,8503,971.42,8438369,97,Legitimate Transaction,0,Legitimate Transaction,4
1299942,1299942,1299942,2023-05-16 13:27:04,2549,5334,529.36,11712424,135,Legitimate Transaction,0,Legitimate Transaction,5
855361,855361,855361,2023-03-31 07:32:39,951,4289,64.48,7716759,89,Legitimate Transaction,0,Legitimate Transaction,3
481384,481384,481384,2023-02-20 05:41:34,4073,2976,1052.98,4340494,50,Fraudulent Transaction Internet,1,Fraudulent Transaction,2
72884,72884,72884,2023-01-08 13:47:12,3472,5130,227.49,654432,7,Legitimate Transaction,0,Legitimate Transaction,1
871716,871716,871716,2023-04-01 18:28:56,3449,6701,276.45,7842536,90,Legitimate Transaction,0,Legitimate Transaction,4
692973,692973,692973,2023-03-14 08:26:26,4936,8790,412.25,6251186,72,Legitimate Transaction,0,Legitimate Transaction,3
920862,920862,920862,2023-04-06 21:50:37,1681,2020,1142.25,8286637,95,Fraudulent Transaction Internet,1,Fraudulent Transaction,4
1204511,1204511,1204511,2023-05-06 13:41:21,4396,6320,1979.6,10849281,125,Fraudulent Transaction Internet,1,Fraudulent Transaction,5
